Date,Open,High,Low,Close,Adj Close,Volume
2018-09-13,2940.000000,3060.000000,2940.000000,3030.000000,3030.000000,273500
2018-09-14,3030.000000,3100.000000,3000.000000,3020.000000,3020.000000,203200
2018-09-17,3020.000000,3020.000000,2960.000000,2970.000000,2970.000000,143600
2018-09-18,2970.000000,3000.000000,2960.000000,2960.000000,2960.000000,93600
2018-09-19,2960.000000,3000.000000,2960.000000,2970.000000,2970.000000,62900
2018-09-20,2970.000000,3000.000000,2950.000000,2980.000000,2980.000000,240300
2018-09-21,2990.000000,3000.000000,2990.000000,3000.000000,3000.000000,119100
2018-09-24,3000.000000,3000.000000,2980.000000,2980.000000,2980.000000,82600
2018-09-25,2980.000000,2990.000000,2930.000000,2950.000000,2950.000000,764900
2018-09-26,2950.000000,3010.000000,2930.000000,2980.000000,2980.000000,831600
2018-09-27,2980.000000,3030.000000,2970.000000,3000.000000,3000.000000,440000
2018-09-28,3020.000000,3050.000000,2970.000000,3050.000000,3050.000000,237500
2018-10-01,3050.000000,3050.000000,2960.000000,2970.000000,2970.000000,702800
2018-10-02,2970.000000,2970.000000,2860.000000,2880.000000,2880.000000,1258300
2018-10-03,2880.000000,2880.000000,2790.000000,2800.000000,2800.000000,1248000
2018-10-04,2800.000000,2800.000000,2730.000000,2750.000000,2750.000000,293600
2018-10-05,2750.000000,2860.000000,2690.000000,2760.000000,2760.000000,461200
2018-10-08,2760.000000,2850.000000,2730.000000,2780.000000,2780.000000,150200
2018-10-09,2780.000000,2800.000000,2750.000000,2750.000000,2750.000000,97500
2018-10-10,2750.000000,2770.000000,2730.000000,2760.000000,2760.000000,162300
2018-10-11,2740.000000,2760.000000,2700.000000,2740.000000,2740.000000,106700
2018-10-12,2790.000000,2800.000000,2710.000000,2750.000000,2750.000000,141500
2018-10-15,2750.000000,2790.000000,2690.000000,2700.000000,2700.000000,148600
2018-10-16,2700.000000,2730.000000,2620.000000,2620.000000,2620.000000,599600
2018-10-17,2620.000000,2670.000000,2600.000000,2600.000000,2600.000000,389400
2018-10-18,2600.000000,2680.000000,2600.000000,2650.000000,2650.000000,368600
2018-10-19,2650.000000,2720.000000,2650.000000,2680.000000,2680.000000,259900
